valid_utc,rained,mm,peak_score,source
2026-08-04T17:00:00+00:00,0,0.0,,openmeteo
2026-08-04T17:15:00+00:00,0,0.0,,openmeteo
2026-08-04T17:30:00+00:00,0,0.0,,openmeteo
2026-08-04T17:45:00+00:00,0,0.0,,openmeteo
2026-08-04T18:00:00+00:00,0,0.0,,openmeteo
2026-08-04T18:15:00+00:00,0,0.0,,openmeteo
2026-08-04T18:30:00+00:00,0,0.0,,openmeteo
2026-08-04T18:45:00+00:00,0,0.0,,openmeteo
2026-08-04T19:00:00+00:00,0,0.0,,openmeteo
2026-08-04T19:15:00+00:00,0,0.0,,openmeteo
2026-08-04T19:30:00+00:00,0,0.0,,openmeteo
2026-08-04T19:45:00+00:00,0,0.0,,openmeteo
2026-08-04T20:00:00+00:00,0,0.0,,openmeteo
2026-08-04T20:15:00+00:00,0,0.0,,openmeteo
2026-08-04T20:30:00+00:00,0,0.0,,openmeteo
2026-08-04T20:45:00+00:00,0,0.0,,openmeteo
2026-08-04T21:00:00+00:00,0,0.0,,openmeteo
2026-08-04T21:15:00+00:00,0,0.0,,openmeteo
2026-08-04T21:30:00+00:00,0,0.0,,openmeteo
2026-08-04T21:45:00+00:00,0,0.0,,openmeteo
2026-08-04T22:00:00+00:00,0,0.0,,openmeteo
2026-08-04T22:15:00+00:00,0,0.0,,openmeteo
2026-08-04T22:30:00+00:00,0,0.0,,openmeteo
2026-08-04T22:45:00+00:00,0,0.0,,openmeteo
2026-08-04T23:00:00+00:00,0,0.1,,openmeteo
2026-08-04T23:15:00+00:00,0,0.1,,openmeteo
2026-08-04T23:30:00+00:00,0,0.1,,openmeteo
2026-08-04T23:45:00+00:00,0,0.1,,openmeteo
2026-08-05T00:00:00+00:00,1,0.2,0.0,ir+openmeteo
2026-08-05T00:15:00+00:00,1,0.4,0.0,ir+openmeteo
2026-08-05T00:30:00+00:00,1,0.4,0.0,ir+openmeteo
2026-08-05T00:45:00+00:00,1,0.4,,openmeteo
2026-08-05T01:00:00+00:00,1,0.2,0.0,ir+openmeteo
2026-08-05T01:15:00+00:00,1,0.2,,openmeteo
2026-08-05T01:30:00+00:00,1,0.2,0.0,ir+openmeteo
2026-08-05T01:45:00+00:00,1,0.2,0.0,ir+openmeteo
2026-08-05T02:00:00+00:00,1,0.3,0.0,ir+openmeteo
2026-08-05T02:15:00+00:00,1,0.3,0.0,ir+openmeteo
2026-08-05T02:30:00+00:00,1,0.3,0.0,ir+openmeteo
2026-08-05T02:45:00+00:00,1,0.3,0.0,ir+openmeteo
2026-08-05T03:00:00+00:00,1,0.3,0.0,ir+openmeteo
2026-08-05T03:15:00+00:00,1,0.3,0.0,ir+openmeteo
2026-08-05T03:30:00+00:00,1,0.3,,openmeteo
2026-08-05T03:45:00+00:00,1,0.3,,openmeteo
2026-08-05T04:00:00+00:00,1,0.9,,openmeteo
2026-08-05T04:15:00+00:00,1,0.9,,openmeteo
2026-08-05T04:30:00+00:00,1,0.9,,openmeteo
2026-08-05T04:45:00+00:00,1,0.9,0.0,ir+openmeteo
2026-08-05T05:00:00+00:00,1,1.2,0.0,ir+openmeteo
2026-08-05T05:15:00+00:00,1,1.2,0.0,ir+openmeteo
2026-08-05T05:30:00+00:00,1,1.2,0.0,ir+openmeteo
2026-08-05T05:45:00+00:00,1,1.2,0.0,ir+openmeteo
